,label,gini_c,a_c,m_20,n_centroids,reg_ratio,percentile,intensity_r
0,1.0,0.6979589469621107,0.13561604105944378,-4.599684773561746,1.0,0.0,0.95,0.0
1,1.0,0.853458646245752,0.04287909243726251,-5.077401813195512,2.0,1.0,0.95,0.9844487469138142
2,1.0,0.7332869024630179,0.13676975108047826,-4.262425629325665,1.0,0.0,0.95,0.0
3,1.0,0.6605373786195242,0.0872282608969366,-4.50643596022776,1.0,0.0,0.95,0.0
4,2.0,0.7782174102372661,0.30860777135552614,-3.699114977656077,2.0,0.037037037037037035,0.16643286573146293,0.018751736812131364
5,2.0,0.6630776605181539,0.2892938222546252,-2.676530797349286,2.0,0.5,0.7336673346693386,0.41854349372389343
6,1.0,0.7596175680096983,0.1047735822201902,-3.5557928875845386,3.0,1.0,0.9176352705410822,0.31835500340870126
7,1.0,0.7522814756396483,0.23398371380990418,-4.428595604330324,1.0,0.0,0.95,0.0
8,3.0,0.6445691579876404,0.26844540953399576,-1.9700726201362833,4.0,1.0,0.7370741482965931,0.07808951233292963
9,2.0,0.6469106491681321,0.2847162135426222,-3.171637712352682,3.0,1.0,0.43557114228456917,0.04196477585265641
10,1.0,0.9311172362057947,0.17913033115655544,-4.105211114003503,1.0,0.0,0.95,0.0
11,3.0,0.6091207473646362,0.3629314136943689,-2.095081935490367,4.0,2.0,0.21583166332665332,0.08450139053976925
12,1.0,0.7181294969731008,0.13392663329922264,-4.704403852888071,1.0,0.0,0.95,0.0
13,3.0,0.5356698761381153,0.21445568798895737,-2.8073969306741207,3.0,1.0,0.595691382765531,0.03758738203544001
14,3.0,0.6633274212241982,0.32069320108919935,-2.306607687040729,4.0,1.0,0.20731462925851704,0.028376335220242375
15,2.0,0.7119136938281848,0.35426706923373713,-3.260453169175106,3.0,1.0,0.1902805611222445,0.019843417960751317
16,1.0,0.7679975993911289,0.15221863485558254,-4.290811447114325,1.0,0.0,0.95,0.0
17,1.0,0.8823658288640597,0.15066436091527008,-4.843611700984146,2.0,0.5,0.7813627254509018,0.4358534654857663
18,1.0,0.876515954847506,0.1557849443925186,-3.973089780510716,1.0,0.0,0.95,0.0
19,3.0,0.7460543187084512,0.23622747056249782,-4.165132169181869,2.0,0.2,0.5854709418837676,0.16034082633713237
20,3.0,0.6802603127736567,0.17886748952925485,-3.6473791265102196,3.0,1.0,0.7609218436873747,0.1989290446282587
21,2.0,0.6988624792940005,0.23043317838338895,-3.949681484519077,3.0,1.0,0.696192384769539,0.21698149123851904
22,1.0,0.6930504270113323,0.09810974554077823,-3.7223119780638254,2.0,0.0625,0.8801603206412826,0.058957854257178595
23,3.0,0.6752783358201749,0.21089953811955714,-3.564455363051531,2.0,0.043478260869565216,0.5377755511022044,0.03445062112377031
